51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
!6;SIMULATION;ECONOMY;CLASS;MEASURE;TERM;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060;2061;2062;2063;2064;2065;2066;2067;2068
*;1;EUR;VALN;DEF;0;1;1.003341126;1.005306406;1.004749656;1.00246607;1.002626121;1.0032261;1.002408511;1.003684818;1.003574424;1.007508401;1.012733528;1.017914726;1.020604091;1.022766122;1.021774846;1.018633037;1.010281676;1.006754311;1.002927029;0.994267488;0.980848566;0.964419034;0.950357021;0.937207594;0.927569504;0.919184141;0.909872056;0.900896907;0.895030285;0.889731796;0.88730466;0.888327262;0.891722909;0.893816115;0.894944788;0.893048653;0.892716734;0.889857548;0.890319217;0.895073963;0.900507492;0.906111816;0.911740675;0.916821276;0.919790144;0.923284695;0.927673204;0.930705359;0.930520389;0.926479898
*;1;EUR;INFLN;INFLN_IDX;0;100;100.2615428;100.7556952;101.5676366;102.6088248;103.6160074;104.7800407;106.0939726;107.4527587;108.9479888;110.2806717;111.6447568;112.9133226;114.353518;115.8641544;117.5227212;119.237503;120.9862258;122.5172442;123.9717201;125.724457;128.3676143;131.6746133;135.4535008;139.329561;143.2324592;147.2300587;151.3668928;155.8054811;160.2124501;164.464372;168.3360587;171.8395335;175.2756799;178.6416643;182.2188728;186.0564844;189.9873073;193.6932568;197.2237891;200.3640146;202.6014631;204.5630847;206.5245051;208.49572;210.4753278;211.9678374;213.1066212;213.8751381;214.7404299;215.8882356
*;1;EUR;EQUITY;RET_IDX;0;100;111.0022081;135.9742798;118.4923155;135.4522628;157.5012814;136.7790609;125.8469773;93.88973003;86.58390724;99.1247455;100.1639305;100.2051938;73.99036643;66.45979037;60.91573831;57.69771855;46.54395923;35.12640132;27.91199651;20.94168043;26.48004601;20.07972018;16.75849877;13.9081699;12.28513418;10.10634169;9.536196721;10.27299261;8.451060216;8.305522495;5.981696916;7.195481321;8.195338403;8.277076946;8.421890206;8.61147588;11.46426683;10.48827618;7.844100872;6.851610688;8.012297633;9.477461948;12.13461881;16.71207648;12.26981185;10.75220839;9.998981271;10.27923583;12.29587049;13.43732269
*;1;EUR;IMMOBILIER;RET_IDX;0;100;100.3809334;112.5971954;114.9105356;108.0917544;108.5043001;110.2987764;101.1997611;80.93921031;72.7478052;77.24921143;76.99876379;88.73948746;76.21201893;80.69353686;86.97231976;98.62892851;74.80283349;73.54105517;71.34152349;77.64396412;75.17211421;58.18417872;52.22339208;40.59394591;34.5141512;34.869161;34.4684352;29.18548176;30.43323157;26.1058567;22.7475326;22.69086442;24.64897359;25.02076486;22.71487969;20.2814732;26.30387601;25.60479068;25.21974587;26.59828445;29.23897343;28.76733458;28.30360379;29.24586715;23.67256832;22.67158335;23.2577641;23.66380272;23.66413527;24.92303871
*;2;EUR;VALN;DEF;0;1;1.003341126;1.006352472;1.00649844;1.00031437;0.987840913;0.967422101;0.937198396;0.902946974;0.86505079;0.824286998;0.784724796;0.755196491;0.737925128;0.72389834;0.709813272;0.697062755;0.684013829;0.670487809;0.655069083;0.634979369;0.611168996;0.588329274;0.564150299;0.544054464;0.529014578;0.519787958;0.513134139;0.508909414;0.506582964;0.504431879;0.501480726;0.49652084;0.48964079;0.480640319;0.467424903;0.45026963;0.431302431;0.409151559;0.384635969;0.360441624;0.335506988;0.313479843;0.295131297;0.27881933;0.262664865;0.245162165;0.228623727;0.214280989;0.201173728;0.188304632
*;2;EUR;INFLN;INFLN_IDX;0;100;100.2615428;100.5700602;101.2906755;102.5092718;104.180388;106.63521;109.9852026;114.1033982;118.7993274;123.9447285;128.8533881;132.1507981;133.3958261;133.553058;133.2158875;132.2019256;130.9069871;129.2573214;127.5043051;126.0177622;125.0626914;123.7052773;122.1392888;119.4031543;115.5111313;110.2214363;104.3626558;98.49957992;92.71364763;87.04988827;81.78358473;77.10358402;72.9145064;69.2528902;66.18438314;63.76992496;61.63883849;59.82057071;58.42839011;57.17752223;56.21529176;55.07111642;53.50719946;51.73996176;50.02878218;48.71651095;47.46871507;46.10695125;44.58848414;43.16065706
*;2;EUR;EQUITY;RET_IDX;0;100;100.6822479;100.095001;93.49926232;71.15973549;57.45930394;64.08926032;51.03921379;87.8719268;107.9473997;134.8747033;133.5336613;103.261538;74.53708591;72.05733587;76.21419415;79.88326926;68.92647072;58.13292573;60.65257989;67.65193405;40.97056345;42.89237288;50.602694;49.57721559;40.62571816;46.37505108;46.62208115;55.75691544;43.4985101;63.70341161;61.9262013;52.48408553;62.01884321;61.58717438;60.91042722;72.9648073;78.81977116;93.75454652;58.25207537;71.12135079;62.09821765;91.85859325;97.78459126;84.65546617;97.27310265;75.87793783;61.85521196;75.92396888;78.3509115;84.57811291
*;2;EUR;IMMOBILIER;RET_IDX;0;100;95.22524787;88.97831665;102.7298648;116.6657499;132.4948763;136.5924747;131.7829732;135.3378468;145.9813568;165.610668;161.85712;155.0059108;147.3593324;166.7013603;187.3686148;195.5277401;182.1861377;187.6847233;212.9510662;225.9907298;231.699222;249.929082;244.8798354;242.2515777;213.6857418;223.0535339;220.6277854;226.2554195;212.5802182;230.9632583;234.7192033;241.758209;253.1499723;282.1747535;291.6857087;308.8702565;357.2179651;452.5705065;514.3446926;598.4324191;533.0664872;528.9074166;534.2945043;608.7442977;699.5184046;636.5850519;589.1111507;609.2918033;691.0366768;824.4965303
*;3;EUR;VALN;DEF;0;1;1.003341126;1.009411796;1.015712714;1.020365197;1.017778415;1.015275187;1.007800148;0.993246691;0.980060526;0.966411694;0.9516124;0.933126597;0.912004393;0.889202618;0.86273177;0.8377719;0.814622264;0.786729953;0.756052013;0.719771486;0.679079812;0.636759573;0.593070969;0.554050726;0.517915004;0.481592293;0.444362174;0.407538834;0.377857241;0.353592708;0.336033168;0.319443206;0.30280678;0.287569208;0.273399205;0.261048998;0.25114107;0.242030783;0.233973232;0.225883582;0.216543756;0.2071023;0.197992744;0.191025361;0.184455256;0.177431977;0.170312536;0.161652233;0.153284228;0.144163205
*;3;EUR;INFLN;INFLN_IDX;0;100;100.2615428;100.489187;100.7717032;101.2088;102.1355038;103.2596498;104.823269;107.119128;109.6970491;112.407494;115.4044392;118.9567454;122.9033705;127.2561346;132.1183625;137.0419064;141.5855716;146.787701;152.9428062;160.2011517;169.0117125;179.2729048;191.1890446;203.2398276;215.8804137;230.0818525;246.7658903;265.462796;282.2047144;296.7118384;307.3888229;317.6926502;328.9910504;340.8199445;352.1025167;361.9442061;369.2953007;375.7150598;379.8150616;384.7015959;391.6675805;399.427315;407.4279675;412.6661424;416.8967;421.8732762;427.4097086;436.1898756;444.8262954;455.4909117
